Token,Symbol,DisplayName,Description,Series,LotSize,TickSize,ExpiryDate,StrikePrice,OptionType,UnderlyingSymbol,AssetToken,PriceBandHigh,PriceBandLow,LTP,Open,High,Low,Close,PrevClose,Volume,IV,Delta,Gamma,Vega,Theta,InstrumentType
837076,SENSEX,SENSEX 19FEB2026 PE 78900,SENSEX2621978900PE,IO,20,0.05,19FEB2026,78900,PE,SENSEX,-1,95.55,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
831814,BANKEX,BANKEX 25MAR2026 PE 57900,BANKEX26MAR57900PE,IO,30,0.05,25MAR2026,57900,PE,BANKEX,-1,20.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
827427,SENSEX,SENSEX 12FEB2026 PE 77700,SENSEX2621277700PE,IO,20,0.05,12FEB2026,77700,PE,SENSEX,-1,33.8,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1169011,SENSEX50,SENSEX50 26FEB2026 CE 26700,SENSEX5026FEB26700CE,IO,75,0.05,26FEB2026,26700,CE,SENSEX50,-1,1612.25,397.9,0,0,0,0,0,0,0,0,0,0,0,0,2
1171867,SENSEX,SENSEX 22JAN2026 CE 87600,SENSEX2612287600CE,IO,20,0.05,22JAN2026,87600,CE,SENSEX,-1,760.7,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
822368,SENSEX,SENSEX 25MAR2026 CE 89200,SENSEX26MAR89200CE,IO,20,0.05,25MAR2026,89200,CE,SENSEX,-1,1396.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
823363,SENSEX,SENSEX 05FEB2026 PE 91700,SENSEX2620591700PE,IO,20,0.05,05FEB2026,91700,PE,SENSEX,-1,8342.5,3726.9,0,0,0,0,0,0,0,0,0,0,0,0,2
1134713,SENSEX,SENSEX 27JUN2030 CE 90000,SENSEX30JUN90000CE,IO,20,0.05,27JUN2030,90000,CE,SENSEX,-1,18398.4,13770.2,0,0,0,0,0,0,0,0,0,0,0,0,2
829425,SENSEX,SENSEX 12FEB2026 CE 80900,SENSEX2621280900CE,IO,20,0.05,12FEB2026,80900,CE,SENSEX,-1,7096.85,2556.95,0,0,0,0,0,0,0,0,0,0,0,0,2
1168934,SENSEX50,SENSEX50 26FEB2026 CE 27250,SENSEX5026FEB27250CE,IO,75,0.05,26FEB2026,27250,CE,SENSEX50,-1,1147.9,139.35,0,0,0,0,0,0,0,0,0,0,0,0,2
